fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
6 jun 2025,6333,6480,6282,6477,6477,280964,2025-05-25,2025-05-25
5 jun 2025,6276,6398,6250,6337,6337,232423,2025-05-25,2025-05-25
4 jun 2025,6336,6396,6217,6285,6285,321128,2025-05-25,2025-05-25
3 jun 2025,6302,6389,6240,6341,6341,291260,2025-05-25,2025-05-25
2 jun 2025,6111,6388,6106,6252,6252,403580,2025-05-25,2025-05-25
30 may 2025,6094,6172,5974,6079,6079,384927,2025-05-25,2025-05-25
29 may 2025,6183,6307,6055,6094,6094,299859,2025-05-25,2025-05-25
28 may 2025,6104,6254,6085,6184,6184,260374,2025-05-25,2025-05-25
27 may 2025,6170,6214,6026,6089,6089,291317,2025-05-25,2025-05-25
23 may 2025,6081,6188,6002,6153,6153,273392,2025-05-25,2025-05-25
22 may 2025,6133,6175,6025,6120,6120,258549,2025-05-25,2025-05-25
21 may 2025,6227,6419,6128,6157,6157,302702,2025-05-25,2025-05-25
20 may 2025,6268,6317,6219,6256,6256,250414,2025-05-25,2025-05-25
19 may 2025,6275,6340,6157,6269,6269,95570,2025-05-25,2025-05-25
16 may 2025,6170,6271,6125,6249,6249,121556,2025-05-25,2025-05-25
15 may 2025,6288,6291,6047,6162,6162,258404,2025-05-25,2025-05-25
14 may 2025,6362,6368,6275,6315,6315,225626,2025-05-25,2025-05-25
13 may 2025,6200,6390,6165,6367,6367,258795,2025-05-25,2025-05-25
12 may 2025,6139,6361,6102,6195,6195,325865,2025-05-25,2025-05-25
9 may 2025,6025,6145,5989,6102,6102,239640,2025-05-25,2025-05-25
8 may 2025,5793,6029,5774,5991,5991,281000,2025-05-25,2025-05-25
7 may 2025,5898,6026,5781,5807,5807,295238,2025-05-25,2025-05-25
6 may 2025,5725,5984,5703,5909,5909,343893,2025-05-25,2025-05-25
5 may 2025,5676,5770,5530,5713,5713,308387,2025-05-25,2025-05-25
2 may 2025,5899,5987,5774,5829,5829,322096,2025-05-25,2025-05-25
1 may 2025,5816,5950,5639,5924,5924,364216,2025-05-25,2025-05-25
30 abr 2025,6016,6043,5791,5821,5821,419549,2025-05-25,2025-05-25
29 abr 2025,6187,6207,6012,6042,6042,312373,2025-05-25,2025-05-25
28 abr 2025,6349,6392,6148,6205,6205,276116,2025-05-25,2025-05-25
25 abr 2025,6286,6341,6180,6302,6302,283758,2025-05-25,2025-05-25
24 abr 2025,6234,6331,6199,6279,6279,264908,2025-05-25,2025-05-25
23 abr 2025,6400,6487,6153,6227,6227,397841,2025-05-25,2025-05-25
22 abr 2025,6343,6509,6343,6431,6431,297928,2025-05-25,2025-05-25
21 abr 2025,6430,6442,6245,6308,6308,82671,2025-05-25,2025-05-25
17 abr 2025,6263,6486,6261,6468,6468,111479,2025-05-25,2025-05-25
16 abr 2025,6154,6298,6044,6247,6247,213194,2025-05-25,2025-05-25
15 abr 2025,6158,6206,6088,6133,6133,197404,2025-05-25,2025-05-25
14 abr 2025,6170,6268,6059,6153,6153,238068,2025-05-25,2025-05-25
11 abr 2025,6020,6187,5943,6150,6150,306231,2025-05-25,2025-05-25
10 abr 2025,6271,6334,5876,6007,6007,391826,2025-05-25,2025-05-25
9 abr 2025,5832,6293,5512,6235,6235,592250,2025-05-25,2025-05-25
8 abr 2025,6103,6175,5788,5958,5958,557655,2025-05-25,2025-05-25
7 abr 2025,6112,6390,5895,6070,6070,597617,2025-05-25,2025-05-25
4 abr 2025,6664,6690,6045,6199,6199,559638,2025-05-25,2025-05-25
3 abr 2025,7038,7041,6598,6695,6695,459238,2025-05-25,2025-05-25
2 abr 2025,7120,7228,7059,7171,7171,286501,2025-05-25,2025-05-25
1 abr 2025,7139,7210,7103,7120,7120,272832,2025-05-25,2025-05-25
31 mar 2025,6943,7183,6881,7148,7148,313087,2025-05-25,2025-05-25
28 mar 2025,6991,7009,6887,6936,6936,246650,2025-05-25,2025-05-25
27 mar 2025,6996,6997,6912,6992,6992,211825,2025-05-25,2025-05-25
26 mar 2025,6916,7022,6906,6965,6965,262413,2025-05-25,2025-05-25
25 mar 2025,6916,6968,6852,6900,6900,258411,2025-05-25,2025-05-25
24 mar 2025,6835,6933,6795,6911,6911,247024,2025-05-25,2025-05-25
21 mar 2025,6835,6865,6765,6828,6828,198964,2025-05-25,2025-05-25
20 mar 2025,6729,6847,6688,6826,6826,283376,2025-05-25,2025-05-25
19 mar 2025,6672,6763,6621,6716,6716,73077,2025-05-25,2025-05-25
18 mar 2025,6740,6872,6656,6690,6690,110338,2025-05-25,2025-05-25
17 mar 2025,6735,6837,6725,6758,6758,161298,2025-05-25,2025-05-25
14 mar 2025,6678,6748,6659,6718,6718,180495,2025-05-25,2025-05-25
13 mar 2025,6769,6794,6637,6655,6655,268590,2025-05-25,2025-05-25
12 mar 2025,6662,6788,6615,6768,6768,246675,2025-05-25,2025-05-25
11 mar 2025,6595,6717,6529,6625,6625,222511,2025-05-25,2025-05-25
10 mar 2025,6711,6760,6580,6603,6603,249633,2025-05-25,2025-05-25
7 mar 2025,6634,6822,6612,6704,6704,329710,2025-05-25,2025-05-25
6 mar 2025,6639,6709,6559,6636,6636,341632,2025-05-25,2025-05-25
5 mar 2025,6808,6810,6522,6631,6631,382493,2025-05-25,2025-05-25
4 mar 2025,6846,6856,6677,6826,6826,386750,2025-05-25,2025-05-25
3 mar 2025,6995,7060,6789,6837,6837,332751,2025-05-25,2025-05-25
28 feb 2025,7017,7029,6914,6976,6976,250074,2025-05-25,2025-05-25
27 feb 2025,6882,7054,6861,7035,7035,265933,2025-05-25,2025-05-25
26 feb 2025,6911,6928,6836,6862,6862,255601,2025-05-25,2025-05-25
25 feb 2025,7092,7126,6868,6893,6893,267310,2025-05-25,2025-05-25
24 feb 2025,6980,7094,6980,7070,7070,205468,2025-05-25,2025-05-25
21 feb 2025,7258,7277,7017,7040,7040,268470,2025-05-25,2025-05-25
20 feb 2025,7218,7325,7185,7257,7257,240060,2025-05-25,2025-05-25
19 feb 2025,7178,7304,7171,7225,7225,69012,2025-05-25,2025-05-25
18 feb 2025,7070,7207,7012,7185,7185,130937,2025-05-25,2025-05-25
14 feb 2025,7152,7202,7052,7074,7074,207719,2025-05-25,2025-05-25
13 feb 2025,7124,7160,7022,7129,7129,278197,2025-05-25,2025-05-25
12 feb 2025,7320,7322,7117,7137,7137,318123,2025-05-25,2025-05-25
11 feb 2025,7249,7368,7231,7332,7332,266819,2025-05-25,2025-05-25
10 feb 2025,7100,7254,7084,7232,7232,255941,2025-05-25,2025-05-25
7 feb 2025,7056,7141,7047,7100,7100,273766,2025-05-25,2025-05-25
6 feb 2025,7118,7185,7043,7061,7061,299037,2025-05-25,2025-05-25
5 feb 2025,7276,7297,7096,7103,7103,289902,2025-05-25,2025-05-25
4 feb 2025,7235,7335,7067,7270,7270,452961,2025-05-25,2025-05-25
3 feb 2025,7414,7518,7205,7316,7316,517853,2025-05-25,2025-05-25
31 ene 2025,7320,7384,7194,7253,7253,376335,2025-05-25,2025-05-25
30 ene 2025,7300,7384,7202,7273,7273,336475,2025-05-25,2025-05-25
29 ene 2025,7395,7408,7233,7262,7262,312733,2025-05-25,2025-05-25
28 ene 2025,7315,7431,7293,7377,7377,326075,2025-05-25,2025-05-25
27 ene 2025,7454,7515,7238,7317,7317,334418,2025-05-25,2025-05-25
24 ene 2025,7430,7521,7401,7466,7466,319679,2025-05-25,2025-05-25
23 ene 2025,7539,7600,7414,7462,7462,350688,2025-05-25,2025-05-25
22 ene 2025,7588,7645,7528,7544,7544,315333,2025-05-25,2025-05-25
21 ene 2025,7819,7847,7549,7589,7589,568807,2025-05-25,2025-05-25
