fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
22 oct 2024,7049,7266,7005,7209,7209,330456
21 oct 2024,6946,7103,6900,7056,7056,92584
18 oct 2024,7075,7123,6869,6922,6922,95768
17 oct 2024,7068,7111,6944,7067,7067,188161
16 oct 2024,7099,7131,6964,7039,7039,222437
15 oct 2024,7151,7212,6971,7058,7058,328738
14 oct 2024,7505,7508,7181,7383,7383,273455
11 oct 2024,7574,7604,7453,7556,7556,315302
10 oct 2024,7339,7624,7326,7585,7585,321453
9 oct 2024,7384,7445,7153,7324,7324,401159
8 oct 2024,7733,7846,7269,7357,7357,496760
7 oct 2024,7440,7740,7362,7714,7714,419018
4 oct 2024,7395,7557,7346,7438,7438,428815
3 oct 2024,7098,7409,7052,7371,7371,460554
2 oct 2024,7080,7249,6987,7010,7010,429225
1 oct 2024,6841,7194,6633,6983,6983,668216
30 sept 2024,6863,6932,6757,6817,6817,350115
27 sept 2024,6745,6865,6706,6818,6818,341133
26 sept 2024,6989,7001,6695,6767,6767,478069
25 sept 2024,7154,7172,6923,6969,6969,476237
24 sept 2024,7076,7240,7044,7156,7156,318516
23 sept 2024,7131,7181,6949,7037,7037,338267
20 sept 2024,7210,7240,7136,7192,7192,306997
19 sept 2024,7013,7249,7013,7195,7195,86630
18 sept 2024,7114,7148,6973,7091,7091,102907
17 sept 2024,7050,7192,6961,7119,7119,251629
16 sept 2024,6916,7070,6865,7009,7009,295176
13 sept 2024,6931,7032,6847,6865,6865,308983
12 sept 2024,6739,6981,6724,6897,6897,351976
11 sept 2024,6628,6797,6563,6731,6731,393311
10 sept 2024,6878,6908,6527,6575,6575,442855
9 sept 2024,6813,6896,6731,6871,6871,351074
6 sept 2024,6933,7013,6717,6767,6767,351074
5 sept 2024,6927,7082,6875,6915,6915,405596
4 sept 2024,7028,7146,6882,6920,6920,482025
3 sept 2024,7353,7441,7010,7034,7034,546617
30 ago 2024,7587,7659,7336,7355,7355,427273
29 ago 2024,7442,7691,7405,7591,7591,408147
28 ago 2024,7575,7595,7382,7452,7452,337361
27 ago 2024,7720,7748,7540,7553,7553,331162
26 ago 2024,7510,7760,7504,7742,7742,409675
23 ago 2024,7296,7507,7283,7483,7483,313764
22 ago 2024,7193,7352,7158,7301,7301,334117
21 ago 2024,7312,7416,7146,7193,7193,390527
20 ago 2024,7434,7503,7350,7404,7404,329276
19 ago 2024,7658,7687,7417,7437,7437,118172
16 ago 2024,7816,7816,7554,7665,7665,100810
15 ago 2024,7752,7860,7693,7816,7816,195122
14 ago 2024,7873,7910,7683,7698,7698,357636
13 ago 2024,7974,8015,7816,7835,7835,370763
12 ago 2024,7699,8016,7670,8006,8006,376747
9 ago 2024,7602,7709,7585,7684,7684,263007
8 ago 2024,7547,7652,7460,7619,7619,327301
7 ago 2024,7284,7584,7258,7523,7523,427995
6 ago 2024,7386,7456,7220,7320,7320,352250
5 ago 2024,7421,7446,7167,7294,7294,500151
2 ago 2024,7687,7729,7297,7352,7352,467786
1 ago 2024,7859,7888,7624,7631,7631,383014
31 jul 2024,7524,7866,7518,7791,7791,460315
30 jul 2024,7591,7597,7459,7473,7473,419478
29 jul 2024,7730,7769,7535,7581,7581,362635
26 jul 2024,7835,7860,7619,7716,7716,365121
25 jul 2024,7750,7847,7604,7828,7828,457288
24 jul 2024,7745,7819,7698,7759,7759,355971
23 jul 2024,7827,7873,7640,7696,7696,417941
22 jul 2024,8039,8069,7917,7978,7978,345235
19 jul 2024,8247,8288,8007,8013,8013,83795
18 jul 2024,8311,8382,8204,8282,8282,95704
17 jul 2024,8085,8310,8045,8285,8285,257437
16 jul 2024,8192,8193,8022,8076,8076,308186
15 jul 2024,8216,8258,8147,8191,8191,296520
12 jul 2024,8286,8374,8210,8221,8221,370062
11 jul 2024,8240,8313,8163,8262,8262,324170
10 jul 2024,8181,8266,8081,8210,8210,334380
9 jul 2024,8222,8248,8125,8141,8141,297325
8 jul 2024,8315,8332,8208,8233,8233,251774
5 jul 2024,8360,8452,8302,8316,8316,361357
3 jul 2024,8320,8393,8246,8388,8388,289685
2 jul 2024,8343,8438,8272,8281,8281,367787
1 jul 2024,8145,8364,8138,8338,8338,345780
28 jun 2024,8186,8272,8097,8154,8154,260252
27 jun 2024,8086,8204,8051,8174,8174,306342
26 jun 2024,8072,8163,8018,8090,8090,308410
25 jun 2024,8170,8190,8055,8083,8083,286038
24 jun 2024,8045,8178,8023,8163,8163,271745
21 jun 2024,8127,8179,8035,8073,8073,290500
20 jun 2024,8152,8241,8113,8217,8217,420499
18 jun 2024,8043,8167,7977,8157,8157,140709
17 jun 2024,7848,8066,7798,8033,8033,126733
14 jun 2024,7796,7915,7773,7845,7845,245827
13 jun 2024,7837,7889,7767,7862,7862,307638
12 jun 2024,7822,7932,7788,7850,7850,322285
11 jun 2024,7812,7836,7722,7790,7790,314874
10 jun 2024,7535,7829,7523,7774,7774,317031
